filename,canidate,has_python2_module,has_python3_module,trove_python3
nitime_0.5-1.json,,✓,,
nose_1.3.6-1.json,,✓,✓,✓
nwdiag_1.0.3-3.json,,✓,✓,
brian_1.4.1-2.json,,✓,,
beautifulsoup4_4.3.2-2.json,,✓,✓,✓
blist_1.3.6-3.json,,✓,✓,✓
basemap_1.0.7+dfsg-1.json,✓,✓,,✓
bookletimposer_0.2-2.json,,,,
bpython_0.12-1.2.json,,,,
bokken_1.6-1.json,,,,
bobo_0.2.2-3.json,,,,
blockdiag_1.4.7-1.json,,✓,✓,✓
bjsonrpc_0.2.0-1.json,,,,
utidylib_0.2-9.json,,✓,,
urwid_1.2.1-2.json,,✓,✓,✓
unittest2_0.5.1-1.json,,,,
urlgrabber_3.9.1-4.1.json,,✓,,
uncertainties_2.4.4-1.json,,✓,✓,✓
unidecode_0.04.16-1.json,,✓,✓,✓
ufl_1.5.0-1.json,,✓,,
usbtc08-python_0.1.1-2.json,,,,
ooolib-python_0.0.17-2.1.json,,,,
ocr4gamera_1.2.2-1.json,,✓,,
obnam_1.8-1.json,,,,
objgraph_1.8.1-1.json,,✓,✓,✓
optcomplete_1.2-13.json,,✓,,
openopt_0.38+svn1589-1.json,,✓,,
openpyxl_1.7.0+ds1-1.json,✓,✓,,✓
qpid-python_0.22+dfsg-1.json,,✓,,
qpid-qmf_0.16-2.json,,✓,,
qr-tools_1.4~bzr21-1.json,,✓,,
htmlgen_2.2.2-12.1.json,,✓,,
hachoir-metadata_1.3.3-2.json,,✓,,
hachoir-core_1.3.3-4.json,,✓,,
hachoir-wx_0.3-3.json,,✓,,
hachoir-urwid_1.1-3.json,,✓,,
hachoir-parser_1.3.4-2.json,,✓,,
html5lib_0.999-3.json,,✓,✓,✓
hachoir-regex_1.0.5-2.json,,✓,,
hachoir-subfile_0.5.3-3.json,,✓,,
hgnested_0.6-6.json,,,,
horizon_2014.1.3-7.json,,✓,,
h5py_2.2.1-1.1.json,,✓,✓,
libcloud_0.15.1-1.json,,✓,✓,✓
cssutils_1.0-2.json,,✓,✓,✓
cardstories_1.0.6-1.3.json,,,,
cmd2_0.6.7-2.json,,✓,✓,
creoleparser_0.7.4-1.json,,✓,,
creepy_1.2~alpha-1.json,,,,
coherence_0.6.6.2-8.json,,✓,,
cython_0.21.1-1.json,✓,,,✓
configshell_1.5+git0.0827baa6-2.json,,✓,,
celery_3.1.13-3.json,,✓,✓,✓
configobj_5.0.6-1.json,,✓,✓,✓
cerealizer_0.8.1-1.json,,✓,✓,✓
catwalk_2.0.2-6.json,,✓,,
cairosvg_1.0.9-1.json,,✓,✓,✓
codespeak-lib_1.4.25-1.json,,✓,✓,✓
cfflib_2.0.5-1.json,,,,
cmdtest_0.12-1.json,,,,
cpuset_1.5.6-4.json,,,,
commando_0.3.4-1.1.json,,✓,,
cubictemp_2.0-1.json,,,,
cherrypy3_3.5.0-2.json,,✓,✓,✓
connectomeviewer_2.1.0-1.json,,,,
cvxopt_1.1.4-1.3.json,,✓,,
ckanclient_0.9-1.json,,✓,,
circuits_2.1.0-2.json,,✓,✓,✓
calabash_0.0.3-3.json,,✓,,
chardet_2.3.0-1.json,,✓,✓,✓
txaws_0.2.3-1.json,,✓,,
trac-icalviewplugin_0.7889-1.1.json,,,,
tagpy_2013.1-4.json,✓,✓,,✓
tryton-modules-party-siret_3.4.0-1.json,,,,
tryton-modules-sale-price-list_3.4.0-1.json,,,,
tryton-modules-project-plan_3.4.0-1.json,,,,
tryton-server_3.4.0-3.json,,,,
tryton-modules-account_3.4.0-1.json,,,,
testrepository_0.0.20-1.json,,✓,✓,✓
transaction_1.4.3-3.json,,✓,✓,✓
tryton-modules-stock-location-sequence_3.4.0-1.json,,,,
trac-authopenid_0.4.7-1.json,,,,
twill_0.9-3.json,,✓,,
transifex-client_0.11.1-1.json,✓,,,✓
tryton-modules-account-invoice_3.4.0-1.json,,,,
tryton-modules-product-cost-fifo_3.4.0-1.json,,,,
targetcli_3.0+git0.7e32595e-2.json,,,,
trac-graphviz_0.7.5-1.json,,,,
tryton-modules-stock-product-location_3.4.0-1.json,,,,
tryton-modules-account-invoice-history_3.4.0-1.json,,,,
trac-spamfilter_0.2.1+svn6871-6.json,,,,
tryton-modules-ldap-authentication_3.4.0-1.json,,,,
tryton-modules-stock-forecast_3.4.0-1.json,,,,
tryton-modules-party-vcarddav_3.4.0-1.json,,,,
tryton-neso_3.4.0-1.json,,,,
tryton-modules-stock-supply-day_3.4.0-1.json,,,,
tryton-modules-project_3.4.0-1.json,,,,
tryton-modules-timesheet_3.4.0-1.json,,,,
tegaki-pygtk_0.3.1-1.json,,,,
tryton-proteus_3.4.0-1.json,,,,
tftpy_0.6.0-1.json,,✓,,
tryton-modules-company-work-time_3.4.0-1.json,,,,
tryton-modules-calendar_3.4.0-1.json,,,,
tryton-modules-company_3.4.0-1.json,,,,
telepathy-python_0.15.19-2.1.json,,,,
translate-toolkit_1.12.0+dfsg1-2.json,,,,
tryton-modules-account-be_3.4.0-1.json,,,,
turbogears2_2.1.5-2.json,,✓,,
tryton-modules-dashboard_3.4.0-1.json,,,,
trac-wikitablemacro_0.7785-1.1.json,,,,
tryton-modules-sale-opportunity_3.4.0-1.json,,,,
tryton-modules-stock_3.4.0-1.json,,,,
tryton-client_3.4.0-1.json,,,,
txzookeeper_0.9.8-1.json,,✓,,
tryton-modules-calendar-classification_3.4.0-1.json,,,,
twisted-web2_8.1.0-3.json,,,,
trac-accountmanager_0.4.3-2.json,,,,
tryton-modules-account-invoice-line-standalone_3.4.0-1.json,,,,
tryton-modules-purchase_3.4.0-1.json,,,,
transmissionrpc_0.11-1.json,,✓,✓,
tryton-modules-stock-inventory-location_3.4.0-1.json,,,,
tryton-modules-calendar-scheduling_3.4.0-1.json,,,,
tryton-modules-analytic-account_3.4.0-1.json,,,,
tweepy_2.3-1.json,,✓,,
tryton-modules-account-product_3.4.0-1.json,,,,
txlibravatar_1.1-10.json,,✓,,
tifffile_20140824-1.json,,✓,,
tryton-modules-analytic-sale_3.4.0-1.json,,,,
tegaki-python_0.3.1-1.json,,,,
tryton-modules-sale_3.4.0-1.json,,,,
turbojson_1.3.2-2.1.json,,✓,,
tryton-modules-stock-supply_3.4.0-1.json,,,,
tryton-modules-project-revenue_3.4.0-1.json,,,,
tegaki-tools_0.3.1-1.json,,,,
tryton-modules-google-maps_3.4.0-1.json,,,,
tryton-modules-product-cost-history_3.4.0-1.json,,,,
typogrify_1:2.0.7-1.json,,✓,✓,
tryton-modules-country_3.4.0-1.json,,,,
tryton-modules-calendar-todo_3.4.0-1.json,,,,
tegaki-train_0.3.1-1.json,,,,
tryton-modules-analytic-purchase_3.4.0-1.json,,,,
turbokid_1.0.5-1.json,,,,
tryton-modules-purchase-invoice-line-standalone_3.4.0-1.json,,,,
tryton-modules-account-statement_3.4.0-1.json,,,,
tryton-meta_27.json,,,,
tryton-modules-product-price-list_3.4.0-1.json,,,,
tryton-modules-analytic-invoice_1:3.4.0-1.json,,,,
tryton-modules-product_3.4.0-1.json,,,,
tvdb-api_1.9-1.json,,✓,,
trac-datefieldplugin_0.7782-3.1.json,,,,
tofu_0.5-6.json,,✓,,
tryton-modules-currency_3.4.0-1.json,,,,
tryton-modules-party_3.4.0-1.json,,,,
trac-mercurial_1.0.0.3+hg8df754d9b36a-1.1.json,,,,
tg.devtools_2.0.2-5.json,,✓,,
lazr.restfulclient_0.13.3-1.json,,✓,,
logilab-astng_0.24.3-2.json,,✓,✓,
lptools_0.2.0-2.json,,,,
logilab-common_0.62.0-1.json,,✓,✓,
lazyarray_0.1.0-1.json,✓,✓,,✓
louie_1.1-2.json,,✓,,
landslide_1.0.1-1.json,,✓,,
lio-utils_3.1+git2.fd0b34fd-2.json,,,,
llvm-py_0.12.6-1.json,✓,✓,,✓
llvm-py_0.12.7-2.json,✓,✓,,✓
lazr.uri_1.0.3-2.json,,✓,✓,✓
logilab-constraint_0.5.0-2.json,,✓,,
lxml_3.4.2-1.json,,✓,✓,✓
gamera_3.4.1+svn1423-4.json,,✓,,
gearman-interface_0.13.2-3.json,,✓,✓,
gst0.10-python_0.10.22-3.json,,✓,,
genetic_0.1.1b-11.json,,✓,,
greekocr4gamera_1.0.1-6.json,,✓,,
gyp_0.1~svn1729-3.json,,,,
galleryremote_0.6-1.1.json,,,,
graphy_1.0+dfsg-3.json,,,,
glitch_0.6-3.json,,✓,,
googlecl_0.9.13-2.json,,,,
glue_0.11.1-1.json,✓,,,✓
gnome-python_2.28.1+dfsg-1.1.json,,✓,,
genshi_0.7-3.json,,✓,✓,✓
gnome-python-desktop_2.32.0+dfsg-3.json,,✓,,
gnome-python-extras_2.25.3-13.json,,✓,,
geopy_1.3.0-1.json,,✓,✓,✓
git-review_1.24-2.json,,,,
gastables_0.3-2.2.json,,✓,,
glance_2014.1.3-12.json,,✓,,
liblarch_2.1.0-2.json,,✓,,
rtslib_3.0+git0.86e46bc6-5.json,,✓,,
rdflib_4.1.2-3.json,,✓,✓,✓
routes_2.0-1.json,,✓,✓,✓
rbtools_0.6.2-1.json,,✓,,
rpy2_2.5.6-1.json,✓,✓,,✓
rhn-client-tools_1.8.26-2.json,,,,
rhn-client-tools_1.8.26-4.json,,,,
rabbyt_0.8.1-1.json,,,,
rgain_1.3.3-1.json,,✓,,
relatorio_0.6.1-2.json,✓,✓,,✓
rpy_1.0.3-30.json,,✓,,
reinteract_0.5.0-6.json,,,,
relational_1.2-2.json,,✓,,
requests_2.4.3-6.json,,✓,✓,✓
rfoo_1.3.0-2.json,,✓,,
rhnlib_2.5.55-2.json,,✓,,
kiwi_1.9.22-2.json,,,,
kiki_0.5.6-8.1.json,,,,
kaa-metadata_0.7.7+svn4596-4.json,,✓,,
kid_0.9.6-2.1.json,,,,
kaa-base_0.6.0+svn4596-1.json,,✓,,
kaa-imlib2_0.2.3+svn4596-2.json,,✓,,
kombu_3.0.21-2.json,,✓,✓,✓
keystone_2014.1.3-6.json,,✓,,
mlpy_2.2.0~dfsg1-2.1.json,,✓,,
mako_1.0.0+dfsg-0.1.json,,✓,✓,✓
matplotlib_1.3.1-2.json,,✓,✓,✓
matplotlib_1.4.2-3.1.json,,✓,✓,✓
modestmaps-py_1.3.1-1.json,,✓,,
mod-wsgi_4.3.0-1.json,✓,,,✓
mysql-connector-python_1.2.3-2.json,,✓,✓,
munkres_1.0.6-1.json,,✓,✓,
mdp_3.3-2.json,,✓,✓,✓
markupsafe_0.23-1.json,,✓,✓,✓
msnlib_3.8-1.json,,✓,,
mocker_1.0-2.json,,✓,,
mygpoclient_1.7-1.json,,✓,,
mutagen_1.25.1-1.json,,✓,✓,✓
maptransfer_0.3-1.json,,,,
meliae_0.4.0+bzr199-1.json,,✓,,
meliae_0.4.0-5.json,,✓,,
mpi4py_1.3.1+hg20131106-2.json,,✓,✓,✓
mpmath_0.19-1.json,,✓,✓,
migrate_0.9.1-1.json,,✓,,
mat_0.5.2-3.json,,,,
mumble-django_2.13-1.json,,✓,,
msgpack-python_0.4.2-1.json,,✓,✓,✓
multipartposthandler_0.1.0-2.json,,✓,,
musicbrainzngs_0.5-2.json,,✓,✓,
alembic_0.6.5+ds-1.json,,✓,✓,✓
authres_0.701-1.json,,✓,✓,✓
audioread_1.0.3-1.json,,✓,✓,✓
apipkg_1.0-1.1.json,,,,
actdiag_0.5.3-4.json,,✓,✓,
aafigure_0.5-4.json,,✓,,
argvalidate_0.9.0-2.json,,✓,,
agtl_0.8.0.3-1.json,,,,
zsi_2.1~a1-3.json,,,,
zc.lockfile_1.0.0-6.json,,✓,,
zope.security_4.0.1-1.json,,✓,✓,✓
zope.cachedescriptors_3.5.1-2.json,,✓,,
zope.authentication_3.7.1-3.json,,✓,,
zope.publisher_3.12.6-2.json,,✓,,
zope.proxy_4.1.4-2.json,,✓,✓,✓
zope.location_4.0.3-1.json,,✓,✓,✓
zope.i18nmessageid_4.0.3-1.json,,✓,✓,✓
zope.sqlalchemy_0.6.1-2.json,,✓,,
zope.interface_4.1.1-3.1.json,,✓,✓,✓
zope.hookable_4.0.4-3.json,,✓,✓,✓
zope.deprecation_4.1.1-3.json,,✓,✓,✓
zope.component_4.2.1-2.json,,✓,✓,✓
zope.dottedname_3.4.6-5.json,,✓,,
zodb_1:3.9.7-5.json,,✓,,
zfec_1.4.5-2.json,,,,
zope.browser_2.0.2-1.json,,✓,✓,✓
zconfig_2.8.0-1.json,,,,
zope.event_4.0.3-2.json,,✓,✓,✓
zope.exceptions_4.0.7-1.json,,✓,✓,✓
zope.configuration_4.0.3-2.json,,✓,✓,✓
zhpy_1.7.3.1-1.json,,,,
zope.schema_4.4.2-1.json,,✓,✓,✓
zope.testing_4.1.3-2.json,,✓,✓,✓
zope.testbrowser_4.0.2-1.json,,,,
winpdb_1.4.8-2.1.json,,,,
webtest_2.0.17-1.json,,✓,✓,✓
weboob_1.0-3.json,,✓,,
web2py_1.99.7-1.json,,✓,,
wokkel_0.7.1-1.json,,✓,,
wtforms_2.0.1-1.json,✓,✓,,✓
wapiti_2.3.0+dfsg-1.json,,,,
webpy_1:0.37+20120626-1.json,,✓,,
webcolors_1.4-1.json,,✓,✓,
web2ldap_1.1.43~dfsg-1.json,,,,
yapps2_2.1.1-17.2.json,,,,
yum-metadata-parser_1.1.4-1.json,,✓,,
execnet_1.0.9-0.1.json,✓,✓,,✓
editobj_0.5.7-10.json,,✓,,
epsilon_0.7.0-2.json,,✓,,
elixir_0.7.1-2.json,,✓,,
etk.docking_0.2-1.json,,✓,,
elib.intl_0.0.3~git20110809-2.json,,,,
elementtidy_1.0-7.json,,,,
easyzone_1.2.2-1.json,,✓,,
episoder_0.7.1-1.json,,,,
epylog_1.0.7-2.json,,,,
empy_3.3.2-1.json,,✓,✓,
sphinxcontrib-blockdiag_1.5.0-1.1.json,,✓,✓,✓
sugar-datastore-0.96_0.96.0-1.json,,✓,,
sqlkit_0.9.6.1-1.json,,✓,,
symeig_1.5-2.json,,,,
six_1.8.0-1.json,,✓,✓,✓
scitools_0.9.0-2.json,,✓,,
squaremap_1:1.0.4-2.json,,✓,,
sugar-base-0.96_0.96.0-1.json,,✓,,
skimage_0.10.1-2.json,,✓,✓,✓
sphinxcontrib-seqdiag_0.8.0-1.1.json,,✓,✓,✓
scour_0.26-3.json,,✓,,
stsci.distutils_0.3.7-1.json,,✓,✓,
sympy_0.7.5-4.json,,✓,✓,✓
simpletal_4.1-7.json,,,,
statsmodels_0.4.2-1.json,✓,✓,,✓
statsmodels_0.5.0+git13-g8e07d34-2.json,✓,✓,,✓
statsmodels_0.6.0~rc2-1.json,✓,✓,,✓
sqlparse_0.1.13-2.json,,✓,✓,✓
sphinx_1.2.3+dfsg-1.json,,✓,✓,✓
sorl-thumbnail_12.2-1.json,,✓,✓,✓
sphinxcontrib-actdiag_0.8.0-1.1.json,,✓,✓,✓
shedskin_0.9.4-1.json,,,,
sugar-datastore-0.88_0.88.0-4.json,,✓,,
sleekxmpp_1.0~beta5-2.json,,✓,✓,
sugar-base-0.84_0.84.2-4.json,,,,
sugar-datastore-0.84_0.84.1-3.1.json,,✓,,
strongwind_0.9-2.json,,✓,,
sugar-toolkit-0.84_0.84.17-1.json,,✓,,
suds_0.4.1-15.json,,✓,,
sourcecodegen_0.6.14-1.json,,✓,,
soya_0.15~rc1-10.json,,✓,,
sugar-base-0.88_0.88.0-4.json,,,,
sphinx-issuetracker_0.11-1.json,✓,✓,,✓
springpython_1.2.0+ds-2.json,,,,
spe_0.8.4.h-3.1.json,,,,
subvertpy_0.9.1-7.json,,✓,,
snakefood_1.4-1.json,,,,
sqlalchemy_0.9.8+dfsg-0.1.json,,✓,✓,✓
snimpy_0.8.3-1.json,✓,,,✓
starpy_1.0.1.0.git.20140806-1.json,,✓,,
stepic_0.3-5.json,,✓,,
stdeb_0.8.2-4.json,,✓,✓,✓
sugar-toolkit-gtk3_0.98.7-2.json,,✓,,
sqlobject_1.6.0-1.json,,✓,,
sciscipy_1.0.1-1.json,,✓,,
sugar-toolkit-0.96_0.96.3-1.json,,✓,,
screenkey_0.2-2.json,,,,
sugar-toolkit-0.88_0.88.1-4.json,,✓,,
simplegeneric_0.8.1-1.json,,✓,✓,
simplejson_3.6.5-1.json,,✓,✓,✓
sepolgen_1.2.1-1.json,,✓,,
sprox_0.6.4-5.json,,✓,,
storm_0.19-1.json,,✓,,
seqdiag_0.9.3-4.json,,✓,✓,
sclapp_0.5.3-3.json,,✓,,
swiginac_1.5.1.1-1.json,,,,
simpleparse_2.1.0a1-6.json,,,,
sphinxcontrib-spelling_2.1.1-1.json,,✓,✓,
sparql-wrapper-python_1.6.0-2.json,,✓,✓,✓
sphinxcontrib-nwdiag_0.9.0-1.1.json,,✓,✓,✓
scikit-learn_0.15.2-2.json,✓,✓,,✓
scikit-learn_0.14.1-3.json,✓,✓,,✓
scikit-learn_0.15.2-3.json,✓,✓,,✓
smartypants_1.8.6-1.json,,✓,✓,✓
dnspython3_1.11.1-1.json,,,✓,
django-openid-auth_0.5-2.1.json,,✓,,
dnspython_1.12.0-1.json,,✓,,
django-sekizai_0.7-2.json,,✓,✓,✓
django-auth-ldap_1.2.2+dfsg-1.json,✓,✓,,✓
django-classy-tags_0.5.1-4.json,,✓,✓,✓
django-filter_0.9.2-1.json,,✓,✓,✓
django-adminaudit_0.3.3-1.json,,✓,,
django-tables_0.15.0-3.json,,✓,✓,
django-app-plugins_0.1.1-1.json,,,,
django-evolution_0.6.7-1.json,,✓,,
django-pipeline_1.4.7-1.json,,✓,✓,✓
django-countries_2.1.2-1.json,,✓,✓,✓
django-floppyforms_1.2.0-1.json,,✓,✓,✓
dbf_0.88.16-1.json,,,,
dulwich_0.10.1-1.json,,✓,,
dulwich_0.9.8-1.json,,✓,,
dkimpy_0.5.4-1.json,,✓,✓,✓
django-celery_3.1.16-1.json,,✓,✓,✓
django-ajax-selects_1.3.6-3.json,,✓,✓,✓
django-picklefield_0.3.1-2.json,,✓,✓,✓
dipy_0.7.1-2.json,,✓,,
dreampie_1.2.1-2.json,,,,
django-extra-views_0.2.4-2.json,,✓,,
deap_1.0.1-3+deb8u1.json,,✓,✓,✓
django-nose_1.2-3.json,,✓,✓,✓
django-markupfield_1.2.1-2.json,,✓,✓,✓
django-notification_0.1.5-3.json,,✓,,
d2to1_0.2.11-1.json,,✓,✓,
django-genshi_1.1.3-4.json,,,,
dajaxice_0.7-1.json,,✓,,
django-authority_0.5-2.json,✓,✓,,✓
django-threaded-multihost_1.3.2-2.json,,,,
drmaa_0.5-1.json,,✓,,
django-dajax_0.9.2-1.json,,✓,,
django-pagination_1.0.7-1.json,,✓,,
decoratortools_1.8-2.json,,,,
django-reversion_1.8.4-1.json,,✓,✓,✓
django-tastypie_0.12.0-1.json,,✓,✓,✓
xlwt_0.7.5+debian1-1.json,,✓,,
xdot_0.6-2.json,,,,
xpyb_1.3.1-1.json,,✓,,
xappy_0.5-5.json,,✓,,
xmlmarshaller_0.9.7+svn39722-2.json,,,,
van.pydeb_1.3.3-1.json,,✓,,
viper_1.0.0-1.json,,✓,,
vatnumber_1:1.2-3.json,,✓,✓,✓
virtualenvwrapper_4.3.1-2.json,,,,
virtaal_0.7.1-1.json,,,,
vitables_2.1-1.json,,,,
faulthandler_2.0-2.json,✓,✓,,✓
ffc_1.5.0-3.json,,✓,,
flask-wtf_0.10.2-1.json,✓,✓,,✓
flufl.enum_4.0.1-1.json,,✓,✓,✓
feedparser_5.1.3-3.json,,✓,✓,✓
forgetsql_0.5.1-12.json,,,,
flufl.password_1.3-1.json,,✓,✓,✓
freshen_0.2-2.json,,✓,,
flup_1.0.2-4.json,,✓,,
flufl.i18n_1.1.3-2.json,,✓,✓,✓
ferari_1.0.0-1.json,,✓,,
flufl.lock_2.3.1-1.json,,✓,✓,✓
fpconst_0.7.2-5.json,,✓,,
forgethtml_0.0.20031008-10.json,,,,
flask_0.10.1-2.json,,✓,✓,✓
funcparserlib_0.3.6-4.json,,✓,✓,
fdsend_0.2.1-2.json,,,,
factory-boy_2.4.1-3.json,,✓,✓,✓
flufl.bounce_2.3-1.json,,✓,✓,✓
fibranet_10-3.1.json,,✓,,
fiat_1.5.0-1.json,,✓,,
foolscap_0.6.5-1.json,,✓,,
libavg_1.7.1-3.json,,✓,,
libavg_1.8.1-1.json,,✓,,
libextractor-python_1:0.6-4.json,,✓,,
ipdb_0.8-1.json,,✓,✓,✓
ipython_2.3.0-2.json,,,,
ipy_1:0.81-1.json,,✓,✓,✓
imdbpy_5.0-1.json,,✓,,
impacket_0.9.12-1.json,,✓,,
isodate_0.5.0-1.json,,✓,✓,✓
inotifyx_0.2.0-1.json,,,,
imposm-parser_1.0.6-0.1.json,,✓,,
instant_1.5.0-1.json,,✓,,
