filename,canidate,has_python2_module,has_python3_module,trove_python3
python-whisper_0.9.12-1.json,,✓,,
python-lzo_1.08-1.json,,✓,,
paramiko_1.15.1-1.json,,✓,✓,✓
python-oauthlib_0.6.3-1.json,,✓,✓,✓
python-gevent_1.0.1-2.json,,✓,,
python-django-rosetta_0.7.2-1.json,,✓,,
python-couchdb_0.10-1.1.json,✓,✓,,✓
python-django-treebeard_2.0~beta1-4.json,✓,✓,,✓
python-application_1.4.1-1.json,,✓,,
python-pychart_1.39-7.json,,,,
python-yenc_0.4.0-1.json,,✓,,
python-numpy_1:1.8.2-2.json,,✓,✓,✓
python-pylibacl_0.5.2-1.json,,✓,✓,
python-iniparse_0.4-2.1.json,,,,
python-macaron_0.3.1-1.json,,✓,,
python-xmpp_0.4.1-cvs20080505.4.json,,✓,,
python-eventlet_0.13.0-2.json,,✓,,
pywapi_0.3.6-1.json,,✓,✓,
pylast_1.0.0-1.json,,✓,✓,✓
python-gitdb_0.5.4-1.json,,✓,,
python-snappy_0.5-1.json,✓,✓,,✓
python-venusian_1.0a8-2.json,,✓,✓,✓
python-pytyrant_1.1.17-1.json,,,,
python-mode_1:6.1.3-2.json,,✓,,
pyx_0.12.1-3.json,,✓,,
python-keystoneclient_1:0.10.1-2.json,,✓,,
pygtkmvc_1.99.1-1.json,,,,
python-django-contact-form_0+hg65-1.json,✓,✓,,✓
python-crypto_2.6.1-5.json,,✓,✓,✓
python-whoosh_2.5.7-3.json,,✓,✓,✓
python-anyjson_0.3.3-1.json,,✓,✓,✓
python-testscenarios_0.4-3.json,,✓,✓,✓
python-sqlite_1.0.1-11.json,,✓,,
python-dpkt_1.6+svn54-1.json,,,,
python-repoze.sphinx.autointerface_0.6.2-2.json,,✓,,
python-simpy_2.3.1-1.json,,✓,✓,✓
python-whiteboard_1.0+git20140207-0.1.json,,✓,,
python-bibtex_1.2.7-1.json,,✓,,
python-larch_1.20131130-1.json,,✓,,
python-demjson_2.2.2-1.json,,✓,✓,✓
python-kinterbasdb_3.3.0-3.json,,✓,,
python-aiml_0.8.6-2.json,,✓,,
pyexcelerator_0.6.4.1-2.json,,✓,,
python-babel_1.3+dfsg.1-5.json,,✓,✓,✓
python-xattr_0.6.4-3.json,,✓,,
python-pyalsa_1.0.26-1.json,,✓,,
python-iplib_1.1-3.json,,,,
phenny_2~hg28-2.json,,,,
python-dexml_0.5.1-1.json,,✓,✓,✓
python-configglue_1.0-1.json,,,,
python-iso8601_0.1.10-1.json,,✓,✓,✓
pylibmc_1.2.3-1.json,,✓,,
python-pyproj_1.8.9-1.1.json,,✓,✓,
python-formencode_1.2.6-2.json,,✓,,
python-ldap_2.4.10-1.json,,✓,,
pybluez_0.20-1.json,,✓,,
python-django-feincms_1.7.4-1.json,,✓,,
python-webflash_0.1a9-5.json,,✓,,
python-scriptutil_1-1.json,,,,
python-reportlab_3.1.8-3.json,,✓,✓,
pyxdg_0.25-4.json,,✓,✓,✓
python-llfuse_0.40+dfsg-1.json,,✓,✓,
poker-engine_1.3.6-1.2.json,,✓,,
python-notify2_0.3-3.json,,✓,✓,✓
pyramid-beaker_0.6.1+ds1-1.json,,✓,,
python-regex_0.1.20141024-3.json,,✓,✓,✓
python-poppler-qt4_0.16.3-2.json,,✓,,
planet-venus_0~git9de2109-3.json,,,,
python-flickrapi_1.2-3.1.json,,✓,,
python-dmidecode_3.10.13-3.json,,✓,,
python-xlrd_0.9.2-1.json,,✓,✓,✓
python-shapely_1.4.3-1.json,,✓,✓,✓
python-lightblue_0.3.2-3.json,,✓,,
python-gnatpython_54-3.json,,✓,,
pydap_2.2.6.7-2.json,,✓,,
pygpiv_2.0.0-4.2.json,,✓,,
python3-defaults_3.4.2-2.json,,,✓,
pydirector_1.0.0-2.json,,,,
python-textile_1:2.1.5-1.json,,,,
pytracer_0.2.3-1.json,,,,
python-clint_0.4.1-1.json,,✓,✓,✓
pygtksourceview_2.10.1-2.json,,,,
python-enable_4.3.0-2.json,,✓,,
python-nemu_0.2-1.json,,✓,,
pam-python_1.0.4-1.json,,,,
python-pysolr_3.2.0-1.json,✓,✓,,✓
python-pytc_0.8-2.json,,✓,,
python-popcon_1.1.json,,,,
python-xklavier_0.4-4.json,,✓,,
python-byteplay_0.2-2.json,,✓,,
python-quantities_0.10.1-1.json,,✓,,
python-pyface_4.4.0-2.1.json,,✓,,
python-django-mptt_0.6.1-1.json,,✓,✓,✓
python-iso8583_1.1-2.json,,✓,,
python-django-tinymce_1.5-3.json,,,,
python-gnutls_2.0.1-2.json,,✓,,
