author	characters	characters %
Constitutional Convention	19150	49.86
Gouverneur Morris	6430	16.74
Congress	4809	12.52
James Madison	2912	7.58
John Bingham	2267	5.9
8th Congress	1094	2.85
Estes Kefauver	675	1.76
House of Representatives	381	0.99
James Ashley	213	0.55
Nelson W. Aldrich	193	0.5
House and Senate conference committee	187	0.49
Senate	88	0.23
Aaron A. Sargent	5	0.01
