id,lat,lng
-1,55.826539,37.646860
-2,55.826547,37.647036
-3,55.826515,37.646710
-4,55.826505,37.647225
-5,55.826598,37.646793
-6,55.824163,37.644384
-7,55.826436,37.647427
-8,55.826736,37.646933
-9,55.826597,37.646548
-10,55.826581,37.647231
-11,55.824325,37.644838
-12,55.823386,37.643550
-13,55.826357,37.647515
-14,55.826792,37.646743
-15,55.826633,37.647961
-16,55.826899,37.647088
-17,55.823830,37.643650
-18,55.826658,37.646491
-19,55.826420,37.647741
-20,55.823417,37.643915
-21,55.826412,37.646971
-22,55.823692,37.643009
-23,55.822478,37.642577
-24,55.826245,37.647561
-25,55.827162,37.645484
-26,55.826876,37.646828
-27,55.826363,37.648727
-28,55.826894,37.648207
-29,55.827400,37.647583
-30,55.823600,37.643393
-31,55.823744,37.643106
-32,55.826971,37.645430
-33,55.826386,37.647847
-34,55.820114,37.640379
-35,55.827102,37.647642
-36,55.824125,37.642327
-37,55.823632,37.642870
-38,55.822551,37.642456
-39,55.821690,37.641731
-40,55.825189,37.646441
-41,55.827234,37.645239
-42,55.826999,37.645322
-43,55.827231,37.645552
-44,55.826058,37.649594
-45,55.826861,37.648004
-46,55.827676,37.648939
-47,55.827482,37.647328
-48,55.827106,37.647414
-49,55.829110,37.649344
-50,55.824176,37.642437
-51,55.826866,37.645356
-52,55.819550,37.639847
-53,55.828903,37.649459
-54,55.824886,37.641067
-55,55.824046,37.642175
-56,55.823459,37.642506
-57,55.822944,37.641806
-58,55.822881,37.642807
-59,55.822502,37.642399
-60,55.821578,37.641611
-61,55.823922,37.645097
-62,55.824966,37.647036
-63,55.827155,37.645020
-64,55.827290,37.645040
-65,55.827099,37.645097
-66,55.827081,37.645063
-67,55.825621,37.650837
-68,55.825463,37.649091
-69,55.826883,37.647826
-70,55.827251,37.650210
-71,55.828704,37.649892
-72,55.828340,37.644453
-73,55.827000,37.647482
-74,55.829176,37.649155
-75,55.829644,37.649911
-76,55.824957,37.641198
-77,55.826470,37.644492
-78,55.819011,37.639397
-79,55.830440,37.651137
-80,55.824939,37.640980
-81,55.824644,37.640571
-82,55.823744,37.642037
-83,55.823123,37.643057
-84,55.823296,37.642138
-85,55.823740,37.640491
-86,55.822897,37.641727
-87,55.823205,37.641982
-88,55.822568,37.642274
-89,55.821044,37.641036
-90,55.821557,37.642522
-91,55.822938,37.648176
-92,55.824277,37.645087
-93,55.823163,37.644300
-94,55.825868,37.647957
-95,55.827118,37.644948
-96,55.827444,37.644527
-97,55.825428,37.651318
-98,55.826930,37.647656
